,origin_station,destination_station,AMpeak_trips,PMpeak_trips,o_lat,o_lon,d_lat,d_lon
220,Pimlico,Angel,7,89,51.4895528621095,-0.13310825841606,51.53296801568911,-0.10558144894639801
221,Pinner,Angel,9,0,51.5923616780875,-0.38122379020978003,51.53296801568911,-0.10558144894639801
222,Plaistow,Angel,36,0,51.53128833503511,0.0177806419767876,51.53296801568911,-0.10558144894639801
223,Preston Road,Angel,23,0,51.572103728155795,-0.294972012548964,51.53296801568911,-0.10558144894639801
224,Putney Bridge,Angel,9,8,51.4678653375334,-0.20936541684838395,51.53296801568911,-0.10558144894639801
225,Queensway,Angel,2,0,51.510449232949895,-0.18741990308706696,51.53296801568911,-0.10558144894639801
226,Ravenscourt Park,Angel,3,0,51.4940679805396,-0.235969233097656,51.53296801568911,-0.10558144894639801
227,Rayners Lane,Angel,9,0,51.5753967323171,-0.3710608137742671,51.53296801568911,-0.10558144894639801
228,Redbridge,Angel,6,0,51.5763669173707,0.0453940439621216,51.53296801568911,-0.10558144894639801
229,Richmond,Angel,2,9,51.4632328858425,-0.30173913400666696,51.53296801568911,-0.10558144894639801
230,Rickmansworth,Angel,12,0,51.6403230144667,-0.473684584103803,51.53296801568911,-0.10558144894639801
231,Royal Oak,Angel,3,0,51.5182943526052,-0.188823673616337,51.53296801568911,-0.10558144894639801
232,Ruislip Gardens,Angel,9,0,51.559960178137295,-0.40929411114266095,51.53296801568911,-0.10558144894639801
233,Russell Square,Angel,6,21,51.523013038091094,-0.12459019776958,51.53296801568911,-0.10558144894639801
234,Seven Sisters,Angel,191,45,51.58336215999121,-0.0724668228194505,51.53296801568911,-0.10558144894639801
235,Sloane Square,Angel,0,26,51.4923597642465,-0.156488857475889,51.53296801568911,-0.10558144894639801
236,Snaresbrook,Angel,1,0,51.5808912737665,0.0214639277817424,51.53296801568911,-0.10558144894639801
237,South Ealing,Angel,24,0,51.501644020742795,-0.30704024495136606,51.53296801568911,-0.10558144894639801
238,South Harrow,Angel,12,0,51.564680168418896,-0.351893970947759,51.53296801568911,-0.10558144894639801
239,South Kensington,Angel,24,88,51.494071365584205,-0.17392302309209898,51.53296801568911,-0.10558144894639801
240,South Kenton,Angel,10,0,51.5710444494788,-0.30814297729179496,51.53296801568911,-0.10558144894639801
241,South Ruislip,Angel,32,0,51.5568903024427,-0.399115910294711,51.53296801568911,-0.10558144894639801
242,South Wimbledon,Angel,46,20,51.4153607099116,-0.19197454623853302,51.53296801568911,-0.10558144894639801
243,South Woodford,Angel,1,0,51.591552616345396,0.027943078326038998,51.53296801568911,-0.10558144894639801
244,Southgate,Angel,22,12,51.63237584819041,-0.127770047251446,51.53296801568911,-0.10558144894639801
245,Southwark,Angel,21,64,51.5038536204048,-0.105794939570331,51.53296801568911,-0.10558144894639801
246,St. James's Park,Angel,0,17,51.49960979443029,-0.133878755377767,51.53296801568911,-0.10558144894639801
247,Stamford Brook,Angel,16,0,51.494449967762606,-0.245246309525915,51.53296801568911,-0.10558144894639801
248,Stanmore,Angel,1,0,51.6196734439499,-0.303099292944956,51.53296801568911,-0.10558144894639801
249,Stepney Green,Angel,0,7,51.5219958335811,-0.0473825233217984,51.53296801568911,-0.10558144894639801
250,Stockwell,Angel,112,29,51.4721592557897,-0.122846304228405,51.53296801568911,-0.10558144894639801
251,Stratford,Angel,105,0,51.54169257936171,-0.00375164102765845,51.53296801568911,-0.10558144894639801
252,Sudbury Town,Angel,10,0,51.551397442548506,-0.316343485736328,51.53296801568911,-0.10558144894639801
253,Temple,Angel,0,16,51.5110406072706,-0.113725750277665,51.53296801568911,-0.10558144894639801
254,Theydon Bois,Angel,11,0,51.6725520831721,0.10289073625208199,51.53296801568911,-0.10558144894639801
255,Tooting Bec,Angel,89,0,51.435838064106704,-0.159700492309773,51.53296801568911,-0.10558144894639801
256,Tooting Broadway,Angel,196,106,51.4270491448249,-0.16868452742757,51.53296801568911,-0.10558144894639801
257,Tottenham Court Road,Angel,11,127,51.51621087007461,-0.131110438934185,51.53296801568911,-0.10558144894639801
