,origin_code,origin_station,destination_code,destination_station,AMpeak_trips,PMpeak_trips
625,507,Angel                         ,525,Borough                       ,64,58
627,507,Angel                         ,527,Bounds Green                  ,0,2
628,507,Angel                         ,528,Bow Road                      ,0,35
629,507,Angel                         ,529,Brent Cross                   ,33,93
630,507,Angel                         ,778,Brixton                       ,16,132
631,507,Angel                         ,531,Buckhurst Hill                ,1,0
632,507,Angel                         ,532,Burnt Oak                     ,0,49
633,507,Angel                         ,534,Caledonian Road               ,7,0
634,507,Angel                         ,535,Camden Town                   ,94,123
635,507,Angel                         ,788,Canada Water                  ,0,190
636,507,Angel                         ,852,Canary Wharf                  ,101,0
637,507,Angel                         ,884,Canning Town                  ,0,78
638,507,Angel                         ,536,Cannon Street                 ,0,13
639,507,Angel                         ,540,Chalk Farm                    ,9,38
640,507,Angel                         ,718,Charing Cross                 ,22,0
641,507,Angel                         ,545,Chiswick Park                 ,1,13
643,507,Angel                         ,547,Clapham Common                ,20,57
644,507,Angel                         ,548,Clapham North                 ,1,78
645,507,Angel                         ,549,Clapham South                 ,5,32
646,507,Angel                         ,551,Colindale                     ,39,52
647,507,Angel                         ,552,Colliers Wood                 ,0,74
648,507,Angel                         ,553,Covent Garden                 ,26,76
649,507,Angel                         ,555,Dagenham East                 ,0,14
651,507,Angel                         ,557,Debden                        ,0,58
652,507,Angel                         ,558,Dollis Hill                   ,3,8
653,507,Angel                         ,560,Ealing Broadway               ,2,146
654,507,Angel                         ,561,Ealing Common                 ,0,10
655,507,Angel                         ,562,Earl's Court                  ,17,38
656,507,Angel                         ,563,East Acton                    ,0,2
657,507,Angel                         ,565,East Finchley                 ,16,40
659,507,Angel                         ,567,East Putney                   ,0,12
661,507,Angel                         ,568,Edgware                       ,1,11
662,507,Angel                         ,774,Edgware Road (Bak)            ,0,2
663,507,Angel                         ,569,Edgware Road (Cir)            ,23,14
664,507,Angel                         ,570,Elephant & Castle             ,86,141
665,507,Angel                         ,571,Elm Park                      ,0,5
666,507,Angel                         ,542,Embankment                    ,17,19
667,507,Angel                         ,572,Epping                        ,0,16
668,507,Angel                         ,574,Euston                        ,107,301
669,507,Angel                         ,576,Fairlop                       ,0,15
671,507,Angel                         ,578,Finchley Central              ,12,31
672,507,Angel                         ,579,Finchley Road                 ,3,14
673,507,Angel                         ,580,Finsbury Park                 ,0,25
675,507,Angel                         ,582,Gants Hill                    ,7,85
676,507,Angel                         ,583,Gloucester Road               ,11,19
677,507,Angel                         ,584,Golders Green                 ,34,90
678,507,Angel                         ,585,Goldhawk Road                 ,0,26
679,507,Angel                         ,586,Goodge Street                 ,33,26
680,507,Angel                         ,588,Great Portland Street         ,25,21
681,507,Angel                         ,590,Green Park                    ,96,43
682,507,Angel                         ,589,Greenford                     ,0,35
684,507,Angel                         ,592,Hainault                      ,0,2
685,507,Angel                         ,593,Hammersmith (Dis)             ,45,46
686,507,Angel                         ,594,Hampstead                     ,25,20
688,507,Angel                         ,597,Harrow & Wealdstone           ,0,8
689,507,Angel                         ,598,Harrow-on-the-Hill            ,0,22
690,507,Angel                         ,779,Hatton Cross                  ,9,0
691,507,Angel                         ,780,Heathrow Terminals 123        ,3,0
692,507,Angel                         ,601,Hendon Central                ,56,109
693,507,Angel                         ,602,High Barnet                   ,23,58
694,507,Angel                         ,605,High Street Kensington        ,27,0
696,507,Angel                         ,604,Highgate                      ,8,178
697,507,Angel                         ,606,Hillingdon                    ,0,27
698,507,Angel                         ,607,Holborn                       ,27,0
700,507,Angel                         ,609,Holloway Road                 ,0,14
701,507,Angel                         ,610,Hornchurch                    ,0,3
702,507,Angel                         ,611,Hounslow Central              ,0,68
703,507,Angel                         ,612,Hounslow East                 ,20,7
704,507,Angel                         ,613,Hounslow West                 ,0,34
705,507,Angel                         ,614,Hyde Park Corner              ,33,0
707,507,Angel                         ,616,Kennington                    ,25,42
708,507,Angel                         ,617,Kensal Green                  ,0,4
710,507,Angel                         ,619,Kentish Town                  ,17,27
